id;fatalities;street;ins_street;settl_unit;accs_type;pedestrian;road_type;road_cond;speed_kmh;weather;lighting;x_coord;y_coord;date
1336;0;Pärnu mnt;Estonia pst;Kesklinna linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6588575.0;542338.0;2021-06-08
1337;0;Nõmme tee;Tüve tn;Kristiine linnaosa;Kokkupõrge vastutuleva sõidukiga;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6585688.0;540411.0;2021-05-22
1338;0;Ranna tee;Viimsi tee;Pirita linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6595668.0;546890.0;2024-05-08
1339;0;Endla tn;;Kristiine linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Märg;50.0;Pilvised olud;Valge aeg;6587974.0;540856.0;2022-10-06
1340;0;Õismäe tee;;Haabersti linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6586579.0;537169.0;2022-06-14
1341;0;Pärnu mnt;Suur-Ameerika tn;Kesklinna linnaosa;Sõidukite külgkokkupõrge;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6587937.0;542136.0;2022-09-07
1342;0;Rävala pst;;Kesklinna linnaosa;Sõidukite külgkokkupõrge;0.0;Tänav;Märg;50.0;Pilvised olud;Valge aeg;6588686.0;543126.0;2023-05-25
1343;0;Peterburi tee;;Lasnamäe linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Muu koht;Kuiv;50.0;Selged olud;Valge aeg;6588667.0;548829.0;2021-06-21
1344;0;Narva mnt;;Kesklinna linnaosa;Kokkupõrge ees liikuva sõidukiga;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6589219.0;543801.0;2023-08-12
1345;0;Kloostrimetsa tee;;Pirita linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;Kuiv;40.0;Selged olud;Valge aeg;6592622.0;547701.0;2023-07-10
1346;0;Randvere tee;;Pirita linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;Kuiv;50.0;Madal vastu paistev päike;Valge aeg;6595011.0;549641.0;2024-07-06
1347;0;;;Mustamäe linnaosa;Kokkupõrge ees liikuva sõidukiga;0.0;Tänav;;;;;6585841.0;538767.0;2021-08-30
1348;0;Paldiski mnt;;Põhja-Tallinna linnaosa;Muu liiklusõnnetus;0.0;Tänav;Kuiv;50.0;;Valge aeg;6588508.0;540501.0;2021-05-10
1349;0;Estonia pst;;Kesklinna linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Lumelörts, soolalumine segu;50.0;Pilvised olud;Valge aeg;6588594.0;542372.0;2023-01-19
1350;0;Valdeku tn;;Nõmme linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Lumelörts, soolalumine segu;50.0;Pilvised olud;Pimeda aeg;6582446.0;540036.0;2023-01-23
1351;0;Pärnu mnt;;Kesklinna linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Märg;40.0;Pilvised olud;Pimeda aeg;6588862.0;542538.0;2023-10-15
1352;0;Pärnu mnt;;Kristiine linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;50.0;;Valge aeg;6584826.0;541332.0;2023-09-11
1353;0;Narva mnt;;Lasnamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6591125.0;549414.0;2021-05-16
1354;0;Ahtri tn;;Kesklinna linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6589446.0;542933.0;2022-07-29
1355;0;Paldiski mnt;;Haabersti linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Lumelörts, soolalumine segu;;Pilvised olud;Pimeda aeg;6586332.0;536038.0;2021-12-02
1356;0;Punane tn;;Lasnamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kohev lahtine lumi;50.0;Pilvised olud;Pimeda aeg;6588634.0;546810.0;2021-12-07
1357;0;Suur-Sõjamäe tn;;Lasnamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Pori, saaste;40.0;Pilvised olud;Pimeda aeg;6587500.0;545078.0;2023-03-12
1358;0;Pirita tee;Kose tee;Pirita linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Märg;50.0;Pilvised olud;Pimeda aeg;6591682.0;546389.0;2022-01-25
1359;0;Paldiski mnt;;Haabersti linnaosa;Kokkupõrge jalakäijaga;1.0;Parkla;Kuiv;50.0;Pilvised olud;Pimeda aeg;6586299.0;536023.0;2023-03-31
1360;0;Kadaka pst;;Nõmme linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;40.0;Pilvised olud;Valge aeg;6581487.0;535913.0;2022-09-14
1361;0;Sõpruse pst;;Mustamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6584759.0;538795.0;2022-10-11
1362;0;Linnamäe tee;;Lasnamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Märg;50.0;Pilvised olud;Valge aeg;6590504.0;549253.0;2021-05-07
1363;0;Ahtri tn;;Kesklinna linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6589392.0;542887.0;2022-05-10
1364;0;Vesivärava tn;;Kesklinna linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6588538.0;544250.0;2024-06-06
1365;0;Haabersti tn;;Haabersti linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6587511.0;536618.0;2023-05-09
1366;0;A. H. Tammsaare tee;Sõpruse pst;Mustamäe linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6585466.0;539840.0;2022-10-11
1367;0;Tartu mnt;C. R. Jakobsoni tn;Kesklinna linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6588443.0;543631.0;2022-08-16
1368;0;Toompuiestee;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6588401.0;541902.0;2022-08-24
1369;0;Kaubamaja tn;;Kesklinna linnaosa;Muu liiklusõnnetus;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6588823.0;542891.0;2024-04-01
1370;0;Mustamäe tee;;Kristiine linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6587220.0;539571.0;2021-04-07
1371;0;Estonia pst;G. Otsa tn;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;30.0;Pilvised olud;Valge aeg;6588591.0;542364.0;2023-10-26
1372;0;Sõpruse pst;;Mustamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;;;;;6585822.0;539985.0;2024-08-12
